"concept_es","definition_es","variants_es","examples_es","concept_en","definition_en","variants_en","examples_en","topic","level","domain"
"costo de oportunidad","El costo de oportunidad es el beneficio que se pierde al elegir una opción sobre otra.","beneficio perdido;alternativa sacrificada","Invertir en lugar de comprar un lujo tiene un costo de oportunidad.","opportunity cost","Opportunity cost is the benefit lost when choosing one option over another.","forgone benefit;sacrificed alternative","Investing instead of buying a luxury has an opportunity cost.","planning","intermediate","personal_finance"
"depreciación","La depreciación es la disminución del valor de un activo con el paso del tiempo o el uso.","pérdida de valor;desvalorización","Un coche nuevo sufre una depreciación inmediata al salir del concesionario.","depreciation","Depreciation is the decrease in the value of an asset over time or through wear and tear.","value loss;devaluation","A new car suffers immediate depreciation upon leaving the dealership.","investment","basic","finance"
"gratificación aplazada","La capacidad de resistir un impulso de gasto hoy para obtener un beneficio mayor en el futuro.","paciencia financiera;ahorro disciplinado","La gratificación aplazada es clave para el éxito financiero.","delayed gratification","The ability to resist an impulse to spend today for a greater benefit later.","financial patience;disciplined saving","Delayed gratification is key to financial success.","saving","intermediate","personal_finance"
"inflación","La inflación es el aumento generalizado de los precios que reduce el poder adquisitivo del dinero.","encarecimiento;devaluación de moneda","La inflación afecta el valor real del ahorro.","inflation","Inflation is the widespread increase in prices that reduces purchasing power.","price rise;monetary devaluation","Inflation affects the real value of savings.","planning","basic","finance"
"inflación del estilo de vida","La tendencia a aumentar los gastos a medida que aumentan los ingresos.","crecimiento de gastos;trampa del ingreso","Evitar la inflación del estilo de vida permite ahorrar más.","lifestyle inflation","The tendency to increase spending as income increases.","lifestyle creep;spending growth","Avoiding lifestyle inflation allows for more saving.","budgeting","intermediate","personal_finance"
"interés compuesto","El interés compuesto es aquel que se suma al capital inicial y sobre el cual se generan nuevos intereses.","interés sobre interés;capitalización","El interés compuesto es el motor de la riqueza a largo plazo.","compound interest","Compound interest is interest calculated on the principal and the accumulated interest.","interest on interest;capitalization","Compound interest is the driver of long-term wealth.","investment","intermediate","finance"
"libertad financiera","El estado en el que los ingresos pasivos son suficientes para cubrir todos los gastos de vida.","independencia financiera;autonomía económica","Alcanzar la libertad financiera permite dejar de trabajar por necesidad.","financial freedom","The state where passive income is enough to cover all living expenses.","financial independence;economic autonomy","Achieving financial freedom allows one to stop working out of necessity.","planning","intermediate","personal_finance"
"liquidez","La liquidez es la facilidad con la que un activo puede convertirse en efectivo sin perder valor.","disponibilidad de efectivo;solvencia inmediata","El dinero en una cuenta corriente tiene alta liquidez.","liquidity","Liquidity is the ease with which an asset can be converted into cash without losing value.","cash availability;immediate solvency","Money in a checking account has high liquidity.","banking","intermediate","finance"
"pasivo","Un pasivo representa las deudas y obligaciones financieras de una persona o empresa.","deuda;compromiso financiero","Un préstamo hipotecario es un pasivo a largo plazo.","liability","A liability represents the debts and financial obligations of a person or company.","debt;financial obligation","A mortgage loan is a long-term liability.","planning","basic","personal_finance"
"patrimonio neto","El patrimonio neto es la diferencia total entre todos los activos que posees y todas tus deudas.","riqueza neta;valor patrimonial","Calcular el patrimonio neto ayuda a medir el progreso financiero.","net worth","Net worth is the total difference between all assets owned and all debts.","net wealth;equity value","Calculating net worth helps measure financial progress.","planning","intermediate","personal_finance"
"valor del dinero en el tiempo","Concepto que indica que el dinero disponible hoy vale más que la misma cantidad en el futuro.","valor temporal;preferencia temporal","El valor del dinero en el tiempo justifica el cobro de intereses.","time value of money","Concept that states money available now is worth more than the same amount in the future.","temporal value;time preference","The time value of money justifies charging interest.","planning","intermediate","finance"
